Part (Strand),Chapter (Substrand),Section,Core/Essential,Section Assigned to:,Section Status,Content summary,Key Takeaways,Learner Experience Assigned to:,Suggested Learning Experience,Example / Exercise Ideas,Animation?,LO 1,LO 2,LO 3,LO 4,PTX File,Open Source Resource 1,Open Source ID 1,Open Source Title 1,Open Source Resource 2,Open Source ID 2,Open Source Title 2,Open Source Resource 3,Open Source ID 3,Open Source Title 3,Open Source Resource 4,Open Source ID 4,Open Source Title 4,Activity Done,Key Takeaway Done,Theory Done,Examples Done,STACK Done,Exercises Done,Lesson Guidance Done,Order
Numbers and Algebra,Quadratic Expressions and Equations,Perfect Squares,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Recall expansion (a+b)^2 = a^2 + 2ab + b^2
- Factorise expressions like x^2 + 6x + 9
- Factorise equations like x^2 - 4x + 4 = 0, solve for x",,Diera,Copy square learner experience from Grade 10,,,Identify perfect squares in quadratic expressions and equations,,,,,PREALG,m81400,Solve Quadratic Equations Using the Square Root Property,ORCCA,section-solving-quadratic-equations-by-using-a-square-root,Solving Quadratic Equations by Using a Square Root,,,,,,,1,1,1,1,0,1,0,2
Numbers and Algebra,Quadratic Expressions and Equations,Completing the Square I,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Complete the square for monic quadatics
- Start with even b term: x^2 -4x + 2 = 0
- Move to odd b term: x^2 - 5x + 6 = 0
- Solutions have plus or minus the square root 
- Don't derive quadratic formula yet.",,Diera,"Solving x^2 + 6x + 3 = 0, have a square with x+3 sides, see there is a missing square, need to add 6.",,,Solve quadratic equations by completing square method,,,,,PREALG,fs-id1167836800584,Solve Quadratic Equations of the Form x2 + bx + c = 0 by Completing the Square,ORCCA,section-the-quadratic-formula,The Quadratic Formula,,,,,,,1,1,1,1,0,1,0,3
Numbers and Algebra,Quadratic Expressions and Equations,Completing the Square II,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Complete the square for non-monic quadratics
- e.g. 3x^2 - 2x - 5 = 0
- Factor out the 3, then proceed",,Diera,Repeat above but with 2x^2 + 5x+ 4,"- Questions: x^2 - 7x - 30 has integer solutions, so does 2x^2 - 7x - 30. Can you find other quadratics which still have integer solutions after changing the coefficient of x^2 from 1 to 2?",,Solve quadratic equations by completing square method,,,,,PREALG,fs-id1167836342004,Solve Quadratic Equations of the Form ax2 + bx + c = 0 by Completing the Square,,,,,,,,,,1,1,1,1,0,1,0,4
Numbers and Algebra,Quadratic Expressions and Equations,Deriving the Quadratic Formula,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Complete the square for generic ax^2 + bx + c = 0 to derive quadratic formula
- Discuss + interpret the discriminant (b^2 - 4ac)",,Diera,"Same fill in the block, but with generic ax^2 + bx+c = 0",,,Derive the quadratic formula using completing square,,,,,PREALG,fs-id1167836664862,Solve Quadratic Equations Using the Quadratic Formula,,,,,,,,,,1,1,1,1,0,1,0,5
Numbers and Algebra,Quadratic Expressions and Equations,Applying the Quadratic Formula,Core,Sheila,"STACK Missing, Lesson Guidance Missing",- Many quadratic expressions which need to be solved via quadratic formula,,Diera,"4 people. Person 1 picks a single digit number (make sure <=5), whispers to person 2, who adds 5 to it. Both whisper to person 3, who multiplies them. Class has to figure out what the secret number was. Trial and error first, then use quadratic formula",,,Solve quadratic equations using the quadratic formula,,,,,PREALG,fs-id1167829717106,Solve Equations in Quadratic Form,,,,,,,,,,1,1,1,1,0,1,0,6
Numbers and Algebra,Quadratic Expressions and Equations,Simultaneous Linear and Quadratic Equations,Core,Sheila,"STACK Missing, Lesson Guidance Missing",- Solve problems like x + 7 = x^2 - 4x + 5 by moving terms to one side.,,Diera,"- Connected expressions with x^2 - x + 10, 2x+8, and 8x - 10, inspired by https://www.tandfonline.com/doi/full/10.1080/0020739X.2013.770089, solve when each pair of these are equal, notice 1,2,3,4,5 pattern, try to replicate",- See https://nrich.maths.org/problems/simple-life,,Solve simultaneous equations involving linear and quadratic equations,,,,,PRECALC,fs-id1165135428383,Intersection of a Parabola and a Line,,,,,,,,,,1,1,1,1,0,1,0,7
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations in Real Life,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Real-life problems involving perfect squares, the quadratic formula, a linear and quadratic term",,Diera,"Give 30 cm string, ask to find the largest area they can enclose with 4 sides.
- Work to length = x, width = 15-x. ",,,Apply quadratic equations in real-life situations,Appreciate the application of quadratic equations in real-life situations,,,,PREALG,fs-id1169147803160,Solve Applications Modeled by Quadratic Equations,,,,,,,,,,1,1,1,1,0,1,0,8
Numbers and Algebra,Irrational Numbers,Identifying Irrational Numbers,Core,Kelvin,"STACK Missing, Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, Exercises Missing, Lesson Guidance Missing","- Recap of Grade 10, pick out that sqrt(7) is irrational, sqrt(9) is not, pi is irrational etc.",,Diera,"- Ask learners to work in their groups and list numbers between 50-100, and express them as square roots e.g  sqrt 20 
- Groups must determine if their numbers can be written as a simple fraction or a terminating/recurring decimal.
-If a learner scored a perfect square (e.g., 16, 64, 81, 100), their identity is Rational, If their mark is not a perfect square (like 80, 50, or 60), their identity is Irrational.",Try to draw sqrt(5) just using a ruler with 1cm markings,,Identify irrational numbers from a set of real numbers,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9
Numbers and Algebra,Irrational Numbers,Simplifying Irrational Numbers,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Simplify square factors, e.g. sqrt(20) = 2 sqrt(5), sqrt(4x + 4) = 2sqrt(x+1). Use factor tree to simplify",,Diera,"-Provide each group with square-shaped tiles or draw squares on the floor with masking tape. Give each group a square with a specific ""Area"" e.g Group A has a square with Area = 20cm^2 while  Group B has a square with Area = 16 cm^2.
- Learners must find the side length i.e Group B finds s = 4 (Rational).Group A finds s = sqrt 20 (Irrational).
- Discussion: Why can Group B measure their side perfectly with a ruler, but Group A has to estimate?
N/B: Ask  Grp 1 to simplify their side length to see how many ""Root 5s"" they have",Activity like this maze: https://amsp.org.uk/app/uploads/2022/11/Session_1_activity__Roots_and_Indices_maze__short_activity__students.pdf,,Simplify irrational numbers in different situations,,,,,PREALG,fs-id1169148889441,Simplify Expressions with Roots,,,,,,,,,,0,0,0,0,0,0,0,10
Numbers and Algebra,Irrational Numbers,Adding and Subtracting Irrational Numbers,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Adding, subtracting, rational numbers
- e.g. sqrt(3) +2 sqrt(3) = 3 sqrt(3)
- e.g. sqrt(5) - (4sqrt(5) - 2) = 2 - 3sqrt(5)",,Diera,"- A student claims that sqrt(4) + sqrt(9) = sqrt(4+9) = sqrt(13). Are they right? Why or why not?
- A student claims that sqrt(2) + sqrt(8) = sqrt(16). Are they right?","See this lesson plan: https://www.mrbartonmaths.com/resources/standard%20unit%20pdfs/SU%20Number%20lessons/N11%20-%20Manipulating%20Surds.pdf.

True or false: sqrt(a) + sqrt(b) = sqrt(a+b)",,Perform operations on irrational numbers in different situations,,,,,PREALG,fs-id1169145730644,Add and Subtract Radical Expressions,ORCCA,B6YKLMef,Adding and Subtracting Square Root Expressions,,,,,,,0,0,0,0,0,0,0,11
Numbers and Algebra,Irrational Numbers,Multiplying and Dividing Irrational Numbers,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Multiplying and dividing rational numbers (no rationalisation yet)
- e.g. sqrt(6) * sqrt(3) = sqrt(18) = 3sqrt(2)
- e.g. sqrt(10) / 2 sqrt(5) = sqrt(2)/2",,Diera,- Scale up a right triangle with sides 1 and 2 (hypotenuse sqrt(5)) by 2. What's the new hypotenuse length? (Calculate by pythagoras and by scaling).,"Surd dominoes https://www.mrbartonmaths.com/resources/standard%20unit%20pdfs/SU%20Number%20lessons/N11%20-%20Manipulating%20Surds.pdf.

Also this triangles where the vertices multiply to give the edges: https://www.dropbox.com/scl/fi/yuarj824hqvmren487pnf/triprods-surds_teacher-notes.pdf?rlkey=scp5rmfcpfkvt9scejk6exwlh&e=1&dl=0",,Perform operations on irrational numbers in different situations,,,,,PREALG,fs-id1169147967415,Multiply Radical Expressions,ORCCA,g7AJBqoj,Multiplying Square Root Expressions,,,,,,,0,0,0,0,0,0,0,12
Numbers and Algebra,Irrational Numbers,Rationalising the Denominator,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Rationalise e.g. 1/sqrt(2), (sqrt(3) + 1)/(sqrt(5) - 1), use difference of squares
- Introduce idea of conjugates to irrational numbers (e.g. 1 + 2sqrt(3) has conjugate 1 - 2sqrt(3))",,Diera,"Start with (2+sqrt(3))(2 - sqrt(3)). Why is the answer rational?
What would you need to multiply (2+sqrt(5)) by to make it rational? What about (3-sqrt(2))? 3 - 2sqrt(3)?

Amina says that tan (45 degrees) = 1/(sqrt(2)). Kiptoo says tan (45 degrees) = sqrt(2)/2. Who is correct? Are they both correct?","- Extension: If f(x) = sqrt(x), calculate [f(x+h)- f(x)]/h, rationalise the numerator to get limit as h -> 0. [Useful for foreshadowing differentiation]
- Question: Sum_{i = 1 to 99} 1/((sqrt(i) + sqrt(i+1))",,Rationalise irrational numbers in different situations,,,,,PREALG,m81446,Divide Radical Expressions,ORCCA,section-rationalizing-the-denominator,Rationalizing the Denominator,,,,,,,0,0,0,0,0,0,0,13
Numbers and Algebra,Irrational Numbers,Irrational Numbers in Real Life,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",- Real-life problems w/ irrational numbers,,Diera,"- Using scores as variables in Pendulum or Kepler's Law formulas. i.e have students use pendulums or marbles or improvise using a pebble, to calculate the period( T) of a pendulum swing.
- Learners must ""rationalize"" their score to find the final answer.","e.g. 
- exact area of pentagonal garden, 
- escape velocity v = sqrt(2GM/r), 
- time dilation for speeds v near light speed: t_v = t_0/sqrt(1-v^2/c^2)
- period of a pendulum T = 2pi sqrt(L/g)
- Scaling laws: B = B_0 M^(3/4)
- Kelper's 3rd law: T = r^(3/2), where T is period of planet and r is radius of orbit
- Political science: size of the assembly S = P^(1/3), where P is population.",,Apply irrational numbers in different situations,Reflect on the use of irrational numbers in mathematical computations,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,14
Numbers and Algebra,Linear Inequalities,Simple Inequalities,Core,Mike,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Difference between > and >=, <, <=
- Solve simple inequalities in one variable: e.g. 2x + 7 < 3 (ans: x < -2)
- Understand that multiplying an inequality by a negative flips it (e.g. -x < 2 => x > -2)
- Note that this is a review of 2.3 Linear Inequalities in Grade 9 syllabus.",,Diera,"- In groups, ask learners to share the marks that they scored during the recent math test. Guide them to compare their marks using this example:
- Diera scored 80 marks in Core mathematics, whille Barasa and Musibega scored 50 and 60 marks each.( Compare the scores of the learners e.g 80(Diera)>50 and 60.
- If the target for the exam was 70 marks, Musibega's marks <= 70, and Diera's score (80)>=70
","- Questions: are these always true (prove it!), sometimes true (when?) or never true:
      1. a+b < a - b
      2. ab < a + b
      3. -a < a",,Solve compound inequalities in one unknown,,,,,PREALG,fs-id1167834346402,Solve Linear Inequalities,PREALG,fs-id1167832055407,Practice Makes Perfect,ORCCA,section-solving-one-step-inequalities,Solving One-Step Inequalities,,,,1,1,0,1,0,1,0,15
Numbers and Algebra,Linear Inequalities,Compound Inequalities,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Combine two simple inequalities with OR, e.g. x < 2 OR x >= 5.
- Combine two simple inequalities with AND, e.g. x <= -4 AND 2x > -10. (ans: -5 < x <= 4).
- Understand a compound inequality, work to simplify it (e.g. simplify 2x + 4 < 5 + 3x < 8 + 2x)",,Diera,"- Consider two learners, 
- Consider a student who must be at least 14 years old AND under 20 years old to participate in a specific youth tournament. If they don't meet both criteria, they are out.",,,Solve compound inequalities in one unknown,,,,,PREALG,fs-id1167835338613,Solve Compound Inequalities with ‚Äúand‚Äù,PREALG,fs-id1167835170774,Solve Compound Inequalities with ‚Äúor‚Äù,ORCCA,section-compound-inequalities,Compound Inequalities,,,,0,0,0,0,0,0,0,16
Numbers and Algebra,Linear Inequalities,Graphing Inequalities in One Unknown,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Recap of graphs for inequalities in one variable
- Shaded vs filled in circles, combined inequalities",,Diera,,,,Represent linear inequalities in two unknowns graphically,,,,,PREALG,fs-id1167831985734,Graph Inequalities on the Number Line,,,,,,,,,,0,0,0,0,0,0,0,17
Numbers and Algebra,Linear Inequalities,Graphing Inequalities in Two Unknowns,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Graph on the Cartesian plane inequalities like 2x + y < 5 (draw the line, use a test point), 
- Shade the region that statisfies
- Compound inequalities, like x - y > 5, 2x < 12, shade region 
- Use digital resources to represent linear inequalities (STACK exercise etc)",,Diera,,,,Represent linear inequalities in two unknowns graphically,,,,,PREALG,fs-id1167834431130,Graph Linear Inequalities in Two Variables,ORCCA,section-inequalities-graphically,Solving Inequalities Graphically,,,,,,,0,0,0,0,0,0,0,18
Numbers and Algebra,Linear Inequalities,Solving Inequalities in Two Unknowns,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Use graph to solve inequality, e.g. simplify a compound inequality.",,Diera,,,,Solve linear inequalities in two unknowns graphically,,,,,PREALG,fs-id1167835524373,Solve Applications using Linear Inequalities in Two Variables,ORCCA,eX1PqYKN,Solving Inequalities Using a Graph,,,,,,,0,0,0,0,0,0,0,19
