Part (Strand),Chapter (Substrand),Section,Core/Essential,Section Assigned to:,Section Status,Content summary,Key Takeaways,Learner Experience Assigned to:,Suggested Learning Experience,Example / Exercise Ideas,Animation?,LO 1,LO 2,LO 3,LO 4,PTX File,Open Source Resource 1,Open Source ID 1,Open Source Title 1,Open Source Resource 2,Open Source ID 2,Open Source Title 2,Open Source Resource 3,Open Source ID 3,Open Source Title 3,Open Source Resource 4,Open Source ID 4,Open Source Title 4,Activity Done,Key Takeaway Done,Theory Done,Examples Done,STACK Done,Exercises Done,Lesson Guidance Done,Order
Numbers and Algebra,Matrices I,Determinant,Core,Ben,STACK Missing,"- Note that no inverse possible if det(A) = 0, note connection to inverse formula. Give formula for determinant
- Other properties of determinat: det(I) = 1, det(AB) = det(A)det(B)",,Ben,"To simplify the inverse formula, let's define det A = ad - bc. Let's see  what happens if we swap the columns, what happens? What if multiply one row by 2?",Show proof that area of parrelogram spanned by [a;c] and [b;d] is |ad-bc| = |det(A)|.,To Do,Compute the determinant of a 2 by 2 matrix,,,,,PRECALC,fs-id1423475,Evaluating the Determinant of a 2√ó2 Matrix,,,,,,,,,,1,1,1,1,0,1,1,45
Numbers and Algebra,Matrices I,Matrices in Real Life,Core,Ben,STACK Missing,"- Rural-urban migration proportions, finding evolution over time
- Adding yields from harvests for different crops, across different farmers
- Total cost of shopping = quantity vector * cost vector
- Image processing with matrix of pixel brightness",,Ben,Rural-urban migration patterns. Premier League table with different columns for different figures,Matrices as the league table: https://plus.maths.org/league-table-teasers,,Explore the use of matrices in real life situations,,,,,PRECALC,fs-id1165131881248,Real-World Applications,PRECALC,fs-id1165133094400,Real-World Applications,,,,,,,1,1,1,1,0,1,1,46
Measurement and Geometry,Approximation and Errors,Estimations and Approximations,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Introduce the concept of approximation and errors
- Include activities where learners measure different objects using different tool, e.g 15cm ruler, 30cm ruler, metre rule, tape measure e.t.c and determine possible errors from the measurements.
- Compare the resuilts from their activities and the object's actual values and determine the possible errors.
",,Bath,"- Include activities where learners measure different objects using different tool, e.g 15cm ruler, 30cm ruler, metre rule, tape measure e.t.c and determine possible errors from the measurements. Measure their desk. 
- Different groups measure one desk, find out reasons for differences
",,,Determine errors from measurements of quantities,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,47
Measurement and Geometry,Approximation and Errors,"Absolute, Relative, and Percentage Errors",Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Probably use accuracy of instruments to introduce the concept.
- Use cm and mm to explain absolute error
- Introduce the formula: Relative error=absolute error/actual measurement and give examples.
- Introduce  the formula: percentage error = relative error*100% and percentage error = absolute error/actual measurement * 100% and give examples on the same.",,Bath,"- Potato crisps with air, measure the difference",,,"Determine absolute, relative and percentage errors from measurements",,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,48
Measurement and Geometry,Approximation and Errors,Rounding off and Truncation Errors,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing, Activity Missing, Key Takeaway Missing, Examples Missing, Exercises Missing","- Recap on rounding off (significant figures and decimal places), expalin how to round off and give examples.
Explain the term ""truncation"" and how truncation error comes about.
- Give examples of rounding off and truncation errors
- Work out the absolute errors resulting from rounding off numbers to a given decimal places and significant figures",,Bath,- Tell students to round their desk mesurement ,,,Compute round off and truncation errors from measurements,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,49
Measurement and Geometry,Approximation and Errors,Maximum and Minimum Errors,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Introduce the concept of: maximum error, and minimum errors and give examples.
- Determine maximum and minimum errors limits in measurements
- e.g. reporting height in cm, max error is + 0.5cm, minimum error is -0.5
- Introduce plus or minus",,Bath,"Give one group of students a ruler that says it is 10cm, but it is actually 8cm, another with 11cm, another with the correct length.",,,Determine maximum and minimum errors from limits in measurements,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,50
Measurement and Geometry,Approximation and Errors,Addition and Subtraction of Errors,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Examples on addition and subtraction of errors.
- E.g. t1 = 10s +- 0.2, t2 = 5s +- 0.1, t1+t2 = 15s +- 0.3
- For both additiona and subtraction, add the absolute value of errors
",,Bath,"- Measure textbook, measure exercise book, add the measurements. 
- Subtraction - different between length of textbook and length of exericse book",,,Perform propagation of errors using limits of measurements,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,51
Measurement and Geometry,Approximation and Errors,Multiplication of Errors,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Examples on multiplication
- minimum x minimum, maximum x maximum",,Bath,- Finding error in area of measurement from the ruler for the textbook,,,Perform propagation of errors using limits of measurements,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,52
Measurement and Geometry,Approximation and Errors,Division of Errors,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Examples on division of errors. 
- min numerator / max denominator, max numerator / min denominator",,Bath,"- Real life example: know the distance travelled +- error, time taken +- error, calculate speed",,,Perform propagation of errors using limits of measurements,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,53
Measurement and Geometry,Approximation and Errors,Approximation and Errors in Real Life,Core,Bath,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Highlight instances of how approximation and errors in used real life e.g in construction, road safety!",,Bath,,,,Appreciate the use of approximations and errors in real life situations,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,54
Measurement and Geometry,Angle Properties of a Circle,"Arcs, Chords, and Segments",Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Introduction of the strand since it wasn't taught in Grade 10.
Introduce the sub section by an activity where learners can draw a circle and identify an arc, a chord and a segment.
- Using exaples, explain the terms: an arc, chord, and segment in a circle 
",,Bath,"Include activities where learners trace a circular object such as a plate or bottle top to draw a circle, draw straight lines from one point of the edge to another, trace the curve between the two edges, shade the regions between the line and the curved edge.",,,"Identify an arc, chord, and segment in a circle",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,55
Measurement and Geometry,Angle Properties of a Circle,Angles at the Centre and on the Circumference,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",-  angle at centre = 2x Angle at circumference.,,Bath,"-draw a circle and mark the centre, as well as the positions of the hours like in a clock. mark points at 4 o'clock and 8 o'clock. the the circle and join them to the centre, chose another point on the circle and join it to the two points, use protractors to measure both angles. Give different angles to different groups",,To Do Priority,Relate angles subtended by the same arc at the circumference,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,56
Measurement and Geometry,Angle Properties of a Circle,Angles Subtended by the Same Arc,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Two angles subtended by the same arc at the circumference are equal.
- advanced: angles add to 180 when different sides of the circle",,Bath,"-draw a circle and mark two points on the circumference and join the two points to form a chord, choose two different points on the same side on the chord and join them to the end of the chord, use protractors to measure the angles and record the mesurements. Repeat this with a point on the opposite side of the chord, measure the angle and add them.",,To Do Priority,Relate the angle subtended by an arc at the centre and at the circumference,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,57
Measurement and Geometry,Angle Properties of a Circle,Angles Subtended by the Diameter,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Illustrate how an angle can be  subtended by a chord and a diameter at the circumference.
- Highlight that ""The angle subtended by a diameter at any point on the circumference is always 90 degrees (a right angle)",,Bath,"- Give students a circle. Ask them to pick a point. Draw any segment from that point. Make a 90 degree angle from that point (using a set square or a textbook), see where that segment lies. Repeat with multiple starting segments.",,To Do Priority,Determine angles subtended by a chord and a diameter at the circumference,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,58
Measurement and Geometry,Angle Properties of a Circle,Angles in a Cyclic Quadrilateral,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Demonstrate and explain how identify  a cyclic quadrilateral.
- Highlight angles in a cyclic quadilateral.
- Highlight that :the most important property of a cyclic quadrilateral is that opposite angles always add up to 180 degrees, The exterior angle is exactly equal to the interior opposite angle.
- Inscribe a quadrilateral into a circle
- Could adapt the ideas here: https://nrich.maths.org/articles/angle-measurement-opportunity-equity",,Bath,"-learners draw a circle and choose 4 points on the circumference join them to form a quadrilateral, measure each interior angle and record the results, add each pair of the opposite angles and record the patterns, extend one side of the quadrilateral, measure the angle and compare to the opposite interior angle.",,To Do Priority,Determine angles in a cyclic quadrilateral,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,59
Measurement and Geometry,Angle Properties of a Circle,Angle Properties of a Circle in Real Life,Core,Kelvin,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Highlight how the  angle properties of a circle can be used/are applied in different situations
- Discuss safety precautions when using construction instruments
- 3 people on the 3 point line in basketball (or equivalent in ok",,Bath,"-identify circular objects in school sports equipments, ",,,Apply the angle properties of a circle in different situations,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,60
Measurement and Geometry,"Circles, Chords and Tangents",Constructing Tangents,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",- Illustrate how to construct a tangent to a circle at a given point,,Bath,"- Coin resting flat on its face, move books on either side. Measure angle of tangent",,,Construct a tangent to a circle at a given point,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,61
Measurement and Geometry,"Circles, Chords and Tangents",Intersecting Chords,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Explain that when two chords intersect inside a circle, the product of the segments of one chord is equal to the product of the segments of the other.
- Proof using similarity ",,Bath,"-learners draw two chods that intersect in the circle, label the points of intersection and the segments formed on each chord, measure the lengths of each segment using a ruler an dcalculate the products of the two segments on each chord.",,To Do Priority,Determine the length of intersecting chords and tangent to a circle,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,62
Measurement and Geometry,"Circles, Chords and Tangents",Intersecting Secants and Tangents,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Explain what a secant is
- Detail how, when two secant segments are drawn to a circle from an exterior point, the product of one full secant and its external portion equals the product of the other.
- Highlight the specific case where a tangent and a secant meet at an external point. The square of the tangent segment equals the product of the whole secant and its external part.( Tangent-Secant Theorem)
- Highlight that tangent segments to a circle from the same external point are congruent (equal in length).",,Bath,"- dwar a circle and mark a point outside the circle,  draw two lines from the point cutting the circle at two points and label the segments, measure the lengths using a ruler and record the measurements,  calculate product of secant and the external part for both the secants and compare the results.  Draw a tangent from the same external point to the circle, measure its length and divide the length of the tangent by the product uof one scecant and its external part. choose another point on the circumference and construct a tangent to the external point, measure, record the results, and compare to the original length of the tangent recorded, observe the pattern.",,To Do,Determine the length of intersecting chords and tangent to a circle,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,63
Measurement and Geometry,"Circles, Chords and Tangents",Direct Tangents to Two Circles,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Explain the difference between tangents that touch two circles without crossing the line segment joining their centers (Direct) and those that do cross it (Transverse).
- Show the method of drawing a circle with radius R-1 - R-2 to find the points of tangency.
- Highlight that for two circles, the lengths of the direct common tangents are equal.",,Bath,"Include activities where learners draw two circles of different sizes on the same page, join the two centers using a line segment, draw a tangents that touch both circles without crossing the line segment joining the centres on both sides of the circle, measure the lengths and record the observations",,To Do Priority,Construct direct and transverse common tangents to two circles,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,64
Measurement and Geometry,"Circles, Chords and Tangents",Transverse Tangents to Two Circles,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Explain the difference between tangents that touch two circles without crossing the line segment joining their centers (Direct) and those that do cross it (Transverse).
- Show the method for transverse tangents",,Bath,"Include activities where learners draw two circles of different sizes on the same page, join the two centers using a line segment, draw a tangents that touch both circles crossing the line segment joining the centres on both sides of the circle, mesure the lengths and record the observations",,To Do Priority,Construct direct and transverse common tangents to two circles,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,65
Measurement and Geometry,"Circles, Chords and Tangents",Alternate Segment Theorem,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- State the fundamental rule: the angle between a tangent and a chord through the point of contact is equal to the angle subtended by the chord in the alternate segment.
- Use diagrams to show how to identify which ""alternate"" segment corresponds to which angle.
- ",,Bath,"- include an activity where learners draw a circle and a tangent, draw a chord through the tangent point. identify the segments, chose a point on the opposite segment and using the chord form an angle, measure the angle formed and record, measure the angle formed between the chord and the tangent and compare the results.",,,Determine the angles in the alternate segment,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,66
Measurement and Geometry,"Circles, Chords and Tangents",Inscribed Circles,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Explain that the center (Incenter) is the intersection of the triangle’s angle bisectors. (Show that the circle touches all three sides internally.)
- Demonstrate how to construct an inscribed circle.",,Bath,"Give triangle, ask to draw largest circle inside they can",,To Do,"Construct an inscribed, circumscribed and escribed circles on a triangle",Determine the centroid and orthocentre of a triangle,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,67
Measurement and Geometry,"Circles, Chords and Tangents",Circumscribed Circles,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Explain that the center (Circumcenter) is the intersection of the perpendicular bisectors of the sides. (Show that the circle passes through all three vertices.)
- Demonstrate how to construct an circumsribed circle.",,Bath,"Give triangle, ask to try find a circle with all 3 points",,,"Construct an inscribed, circumscribed and escribed circles on a triangle",Determine the centroid and orthocentre of a triangle,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,68
Measurement and Geometry,"Circles, Chords and Tangents",Escribed Circles,Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Describe how these circles lie outside the triangle and touch one side and the extensions of the other two sides.
(Mention that the center is formed by the intersection of two external angle bisectors.)
- Demonstrate how to construct an escribed circle.",,Bath,"Include activities where learners draw a triangle and extend two of its sides. Construct the external angle bisectors of two angles and identify their intersection, draw a circle that touches one side of the triangle internally and the extensions of the other two sides externally. ","Explore how the circumcentre, centroid, and orthocentre all lie on a line",,"Construct an inscribed, circumscribed and escribed circles on a triangle",Determine the centroid and orthocentre of a triangle,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,69
Measurement and Geometry,"Circles, Chords and Tangents","Circles, Chords, and Tangents in Real Life",Core,Mike,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Give illustrations how angles, chords and tangents relate to real life situations",,Bath,,Worksheet here: https://drive.google.com/file/d/1wiRtVmVflc6PsPv8hhuuuLydXPUlZp92/view?usp=drive_link,,Apply angles chords and tangents to real life situations,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,70
Measurement and Geometry,Commercial Arithmetic,Simple Interest,Core,Bath,STACK Missing,"- Introduce the sub strand since they didn't study it in Grade 10
- Define Simple Interest (Explain that it is interest calculated only on the initial amount (principal) for the entire period.)
- Introduce the formula for calculating the Simple Interest 
- Demonstrate calculating interest for periods given in months or days by converting them into years.",,Bath,"-Include activities that introduce borrowing and saving money, give simple examples to allow learners identify different elements involved like principle, rate, time. Stepwise give simple examples that help them substitute the values to calculate the simple interest, In groups give them half the principle value to find simple interests and compare the results to notice the patterns. Extand this to different time, months, days.",,,Compute simple interest using the simple interest formula,,,,,PREALG,m81308,Solve Simple Interest Applications,,,,,,,,,,1,1,1,1,0,1,1,71
Measurement and Geometry,Commercial Arithmetic,Compound Interest,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Guide the learners in deriving the compound interest formula
- Demonstrate how to adjust the formula for semi-annual (twice a year) or quarterly compounding.
- Highlight that CI = Final Amount -  Original Principal
- - Give examples for learners to calculate the compound interest using the compound interest formula",,Bath,"Explore patterns by calculating the amount in one year, two years, and three years to observe the patterns guiding to the compound interest formula. using the formula to adjust it to different periods, work through guided examples to calculate the compound interest formula and solving examples to compatre to other groups.",,,Derive compound interest formula using the step by step method,Determine compound interest using the compound interest formula,,,,PRECALC,fs-id1165137871708,Applying the Compound-Interest Formula,,,,,,,,,,1,1,0,1,0,1,0,72
Measurement and Geometry,Commercial Arithmetic,Appreciation,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Define appreciation as the increase in value of an asset over time (e.g., land, gold)
- Illustrate how to calculate the rate of appreciation and depreciation (Introduce and use formulas)",,Bath,"Learners begin by discussing everyday examples of items that increase or decrease in value, helping them understand appreciation and depreciation. define appreciation as the increase in value of an asset over time and to recognize depreciation as the decrease in value. use simple examples to introduce the formulas for calculating the rate of appreciation and depreciation and shown how to substitute values correctly. practice solving similar problems to build confidence and understanding.",,,Determine the value of appreciation and depreciation of assets,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,73
Measurement and Geometry,Commercial Arithmetic,Depreciation,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Define depreciation as the decrease in value of an asset (e.g., cars, machinery)
- Illustrate how to calculate the rate of appreciation and depreciation (Introduce and use formulas)",,Bath,"Learners begin by discussing everyday examples of items that increase or decrease in value, helping them understand appreciation and depreciation. define appreciation as the increase in value of an asset over time and to recognize depreciation as the decrease in value. use simple examples to introduce the formulas for calculating the rate of appreciation and depreciation and shown how to substitute values correctly. practice solving similar problems to build confidence and understanding.",,,Determine the value of appreciation and depreciation of assets,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,74
Measurement and Geometry,Commercial Arithmetic,Hire Purchase I,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Define Key Terms i.e Identify the Deposit (initial payment), Instalments (monthly payments), and Hire Purchase Price (HPP).
- Demonstrate that to Calculate Carrying Charge(interest) is HPP - Cash Price
- Show to calculate instalments.
- Rate of Interest: Demonstrate how to find the flat rate of interest charged on the remaining balance in a hire purchase agreement.",,Bath,"- identify key terms in hire purchase through simple examples, such as the deposit, instalments, and hire purchase price. guide to understand that the carrying charge (interest) is the difference between the hire purchase price and the cash price. use examples to show how to calculate instalments and determine the total amount paid over time. introduce to the concept of the rate of interest and guide step by step on how to calculate the flat rate charged on the remaining balance, followed by practice to reinforce understanding.",,,Determine the cost of goods in purchase,,,,,PRECALC,fs-id1165135390954,Solving Annuity Problems,,,,,,,,,,1,1,0,1,0,1,0,75
Measurement and Geometry,Commercial Arithmetic,Hire Purchase II,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing",- Harder questions with instalments etc,,Bath,"review the basic hire purchase concepts deposit, instalments, hire purchase price, and carrying charge. give more challenging problems where they must calculate instalments over different periods, adjust for varying deposits, or determine the remaining balance after some payments. give questions that requiring calculation of the flat rate of interest on different balances and multiple scenarios, applying all steps carefully. in groups discuss their solutions, compare answers, and explain their reasoning to reinforce understanding and problem-solving skills.",,,Determine the cost of goods in purchase,,,,,PRECALC,fs-id1165135390954,Solving Annuity Problems,,,,,,,,,,1,1,0,1,0,1,0,76
Measurement and Geometry,Commercial Arithmetic,Income Tax I,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Define Gross Income, Taxable Income (Gross minus allowable deductions like pension), and Net Income.
- Explain how to use progressive tax brackets (graduated scales) to calculate ""Tax Due.""",,Ben,Worked example of income tax,,,Compute income tax using taxation table,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,77
Measurement and Geometry,Commercial Arithmetic,Income Tax II,Core,Bath,"Theory Missing, STACK Missing, Lesson Guidance Missing","- Further content, such as tax relief, PAYE",,Ben,Another worked example,,,Compute income tax using taxation table,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,78
Measurement and Geometry,Commercial Arithmetic,Commerical Arithmetic in Real Life,Core,Bath,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Give illustrations like bank loans, car payments, and salary slips.",,Ben,Payment for a car example,,,Appreciate the use of commercial arithmetic in real-life situations,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,79
Measurement and Geometry,Trigonometry II,Trigonometry and the Unit Circle,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Define the unit circle as a circle with radius r = 1. Explain that for any point (x, y) on the circle, cos theta = x and sin theta = y.
- Connect to pythagoras",,Ben,"Draw 10cm circle, Find coordinates  of  point on the circle. sin^2 x + cos^2 x = 1. See https://docs.google.com/presentation/d/e/2PACX-1vRiMHOoiJk3Z4_PYAo7mlM2n8uHllyyf6OTWRv-xAOqo0MG7NFjCDvweCmRyzAnOaqXAHk_QunOxwEl/pub?start=false&loop=false&delayms=3000&slide=id.g2e6adfc76f7_0_42 (CC-BY-NC)",,To Do Priority,Determine trigonometric ratios of angles using a unit circle,,,,,PRECALC,m49372,Unit Circle: Sine and Cosine Functions,,,,,,,,,,0,0,0,0,0,0,0,80
Measurement and Geometry,Trigonometry II,Trigonometric Ratios Beyond Acute Angles,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Use the unit circle to determine trig ratios beyond acute, watching for the sign.
- For Angles Greater than 90°, Use the CAST diagram (All, Sine, Tangent, Cosine) to determine the signs of ratios in the four quadrants.
- Question: angle in a tetrahedron / method angle = arccos(-1/3) = 109.47",,Ben,Continue with circle demonstration,,,Determine trigonometric ratios of angles greater than 90 degrees in different situations,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,81
Measurement and Geometry,Trigonometry II,Trigonometric Ratios of Negative Angles,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",- Demonstrate that sin(-theta) = -sin theta and cos(-theta) = cos theta by reflecting across the x-axis.,,Ben,Angles going clockwise,,,Determine trigonometric ratios of negative angles in different situations,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,82
Measurement and Geometry,Trigonometry II,Solving Trigonometric Equations I,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","-Illustrate using examples how to solve trigonometric equations involving trigonometric ratios across the range 0 to 360 degrees
- e.g. sin(theta) = 1/2, cos (theta) = 0.8",,Ben,"Opening question: sin x = 1/2. How many solutions do we think there will be for x? Solve via measurement on the unit circle, give a height, ask to find which angle(s!) will give that",,,Solve trigonometric equations involving trigonometric ratios across the range 0 to 360 degrees,,,,,PRECALC,m49398,Solving Trigonometric Equations,,,,,,,,,,0,0,0,0,0,0,0,83
Measurement and Geometry,Trigonometry II,Solving Trigonometric Equations II,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Harder trig equations like sin(theta) = cos(theta), tan(theta/2) = 1/2 etc.",,Ben,Group activities discussing solve tan x = sqrt(3) for 0 < x < 720,"If A, B, and C are angles of a triangle, are these identies or equations?
- sin(π/2−A)=cosA
- sec^2(A)−tan^2(A)=1
- tan(A+B)=−tanC
- sin^2(A)−cos^2(B)=1
- sin(π−A)=sin(B)
- sin^2(A)−3cos(A)=cosec^2(C)−cot^2(C_",,Solve trigonometric equations involving trigonometric ratios across the range 0 to 360 degrees,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,84
